


company_id,year,operating_profit_margin,net_profit_margin,roa,roe,debt_to_equity,interest_coverage,asset_turnover,tax_rate,eps,dividend_payout,sales,operating_profit,net_profit,borrowings,shareholders_equity,total_assets,operating_cash_flow,net_cash_flow
ABB,2012,12.220205686630369,8.771929824561402,15.986769570011026,22.411128284389488,0.0,,1.822491730981257,33.0,68.0,25.0,1653,202.0,145,0.0,647.0,907.0,101.0,1.0
ABB,2014,11.731107205623902,8.699472759226714,17.383669885864794,25.12690355329949,0.0,,1.9982440737489024,33.0,93.0,25.0,2276,267.0,198,0.0,788.0,1139.0,155.0,-31.0
ABB,2015,13.630406290956751,10.004368719965049,16.666666666666664,24.439701173959445,0.0,,1.665938864628821,34.0,108.0,29.0,2289,312.0,229,0.0,937.0,1374.0,180.0,-27.0
ABB,2016,13.963274674827849,9.755164498852334,15.77970297029703,21.338912133891213,0.0,121.66666666666667,1.6175742574257426,36.0,120.0,29.0,2614,365.0,255,0.0,1195.0,1616.0,1793.0,97.0
ABB,2017,13.709955218739237,9.541853255253187,13.407550822846078,19.971160778658977,0.0,199.0,1.40513068731849,37.0,130.0,31.0,2903,398.0,277,0.0,1387.0,2066.0,2496.0,66.0
ABB,2018,15.918738629472406,12.15888417222559,16.5976821192053,23.685764914353218,0.0,131.25,1.365066225165563,35.0,189.0,29.0,3298,525.0,401,0.0,1693.0,2416.0,2351.0,431.0
ABB,2019,16.444686055993476,12.231584669747214,15.300918055083304,22.410358565737052,0.0,302.5,1.2509350561033663,36.0,212.0,31.0,3679,605.0,450,0.0,2008.0,2941.0,3090.0,-322.0
ABB,2020,18.49499144881505,14.488150500855118,16.718353538201296,24.39325380501851,0.07198683669271905,84.11111111111111,1.153932901043135,26.0,279.0,90.0,4093,757.0,593,175.0,2431.0,3547.0,6063.0,1053.0
ABB,2021,21.392111368909514,16.03248259860789,17.994791666666668,26.5564950038432,0.058800922367409685,51.22222222222222,1.1223958333333333,25.0,325.0,85.0,4310,922.0,691,153.0,2602.0,3840.0,4511.0,-896.0
ABB,2022,22.023203745165887,16.26297577854671,18.915719696969695,28.333333333333332,0.05390070921985816,56.94736842105263,1.1631155303030303,26.0,376.0,73.0,4913,1082.0,799,152.0,2820.0,4224.0,5045.0,-161.0
ABB,2023,22.546270330902974,17.74163395027108,20.82967515364355,29.767879548306148,0.03544542032622334,75.375,1.1740561896400352,25.0,447.0,73.0,5349,1206.0,949,113.0,3188.0,4556.0,4670.0,109.0
ABB,2024,24.84185330825782,20.533424517011454,23.127286732139417,32.46823465801568,0.022438496891051634,121.08333333333333,1.1263238975544,26.0,565.0,73.0,5849,1453.0,1201,83.0,3699.0,5193.0,7251.0,603.0
ADANIENSOL,2014,,,,0.0,0.0,,,0.0,0.0,,0,0.0,0,0.0,0.1,0.0,0.0,0.0
ADANIENSOL,2015,77.09923664122137,-5.343511450381679,-0.06091193873999304,-0.6463527239150507,8.95752539242844,1.3835616438356164,0.011399234249912982,34.0,0.0,0.0,131,101.0,-7,9701.0,1083.0,11492.0,-35.0,3.0
ADANIENSOL,2016,87.83044667274385,16.773017319963536,3.1329814404903797,13.77245508982036,3.2129491017964074,2.013584117032393,0.18678699131619275,23.0,3.0,0.0,2194,1927.0,368,8585.0,2672.0,11746.0,1544.0,6.0
ADANIENSOL,2017,68.94993045897078,14.464534075104313,3.2472094293966123,14.116050220563285,3.045469969460468,2.1935840707964602,0.22449457497463118,22.0,4.0,0.0,2876,1983.0,416,8975.0,2947.0,12811.0,2189.0,4.0
ADANIENSOL,2018,71.65314401622717,28.98073022312373,6.620330147697655,18.87072808320951,1.7216443784051512,3.1896162528216703,0.22843903851723138,22.0,10.0,0.0,3944,2826.0,1143,10428.0,6057.0,17265.0,2198.0,596.0
ADANIENSOL,2019,38.02874743326489,7.652292950034223,1.716935929725413,6.950142981474575,2.50366778565212,1.9971243709561466,0.2243688187235088,33.0,5.0,0.0,7305,2778.0,559,20137.0,8043.0,32558.0,2591.0,-421.0
ADANIENSOL,2020,37.29852838121934,6.184302733006307,1.7778449296164793,8.30685963054477,2.8528062124955875,1.902591599642538,0.2874770214801944,36.0,7.0,0.0,11416,4258.0,706,24246.0,8499.0,39711.0,5437.0,1045.0
ADANIENSOL,2021,39.79447914567802,12.996171670360667,2.9837627792940737,14.46350487722839,3.0378966251821953,1.8658478979688238,0.22958782439746495,20.0,11.0,0.0,9926,3950.0,1290,27095.0,8919.0,43234.0,3784.0,-969.0
ADANIENSOL,2022,37.360099484810796,10.978859477704743,2.604078880836002,12.46847573892868,3.016443054574801,1.7784355179704017,0.23719029158941513,27.0,11.0,0.0,11258,4206.0,1236,29902.0,9913.0,47464.0,4097.0,-75.0
ADANIENSOL,2023,33.98781313473256,9.636650868878357,2.3752132314766743,10.90305557919823,2.916843986722274,1.6245954692556634,0.24647704516798932,25.0,11.0,0.0,13293,4518.0,1281,34270.0,11749.0,53932.0,3777.0,2.0
ADANIENSOL,2024,34.38911302462817,7.201782380923707,2.043117291332126,9.461276797721698,2.93252116130053,2.063968196602819,0.2836960606785336,33.0,10.0,0.0,16607,5711.0,1196,37070.0,12641.0,58538.0,6038.0,551.0
ADANIENT,2013,12.983288409703503,2.6264150943396225,1.0887540113166057,5.692652832305104,3.240418769863526,1.7242268041237114,0.41453996120531683,39.0,15.0,10.0,46375,6021.0,1218,69332.0,21396.0,111871.0,7666.0,75.0
ADANIENT,2014,17.07645549347553,4.815549529546654,2.240436233086654,11.1377699204445,3.0298438355011155,1.6452744169735227,0.4652503767929417,-64.0,20.0,7.0,54947,9383.0,2646,71980.0,23757.0,118102.0,8228.0,-888.0
ADANIENT,2015,19.312805398278137,3.564725044597844,1.757982833274683,8.931902985074627,3.248250932835821,1.7644557823129252,0.4931608500742055,14.0,18.0,8.0,64465,12450.0,2298,83571.0,25728.0,130718.0,8532.0,512.0
ADANIENT,2016,4.951776052693484,2.9404845918607387,2.399289810216176,7.4749588877261175,1.4328748691882194,1.2409727339719971,0.8159504786583172,7.0,9.0,4.0,34008,1684.0,1000,19169.0,13378.0,41679.0,5112.0,-161.0
ADANIENT,2017,5.206251881860236,2.5319574083705145,1.9428283379891202,6.543576683644596,1.4746745897000566,1.5131264916467781,0.7673226775325029,25.0,9.0,4.0,36533,1902.0,925,20846.0,14136.0,47611.0,774.0,30.0
ADANIENT,2018,5.673087629439929,1.653490702594366,1.0530981295984398,3.936642587315263,1.1688647359003248,1.6304,0.6368938923854268,23.0,7.0,6.0,35924,2038.0,594,17637.0,15089.0,56405.0,2942.0,413.0
ADANIENT,2019,4.876297085118502,1.2531266252259838,1.1895805905585857,3.429113580916238,0.7619273515857956,1.2116923076923076,0.9492900131653188,32.0,7.0,6.0,40379,1969.0,506,11243.0,14756.0,42536.0,3236.0,-436.0
ADANIENT,2020,5.285348939013432,2.3961477317236133,2.2186666666666666,6.136779370980115,0.7328140673865581,1.4592875318066159,0.9259306666666667,29.0,10.0,10.0,43403,2294.0,1040,12419.0,16947.0,46875.0,2454.0,1151.0
ADANIENT,2021,6.338366593317652,2.645623087234742,2.026464149408141,6.0959263360335685,0.9456844804475786,1.8198983297022513,0.7659685762442606,31.0,8.0,12.0,39537,2506.0,1046,16227.0,17159.0,51617.0,4043.0,-1459.0
ADANIENT,2022,5.3500432152117545,1.135119562085854,0.7756974386234324,3.5404591813811384,1.8692546165251382,1.4703087885985748,0.6833618805740949,50.0,7.0,14.0,69420,3714.0,788,41604.0,22257.0,101586.0,1385.0,246.0
ADANIENT,2023,6.913909361768857,1.899012074643249,1.7143504296493437,7.328068742246831,1.6096335965628876,2.2217183169564123,0.9027590990812441,32.0,22.0,6.0,127540,8818.0,2422,53200.0,33051.0,141278.0,17626.0,970.0
ADANIENT,2024,11.799296833677312,3.458790097592848,2.076768834144944,8.534650424813185,1.671358378544375,2.497694840834248,0.6004321671876751,33.0,28.0,5.0,96421,11377.0,3335,65310.0,39076.0,160586.0,10312.0,424.0
ADANIGREEN,2017,80.2788844621514,-9.362549800796813,-0.762987012987013,-3.906899418121363,3.6134663341645887,1.2065868263473054,0.08149350649350649,-75.0,0.0,0.0,502,403.0,-47,4347.0,1203.0,6160.0,28.0,76.0
ADANIGREEN,2018,56.95945945945946,-9.324324324324325,-0.8784773060029283,-10.290827740492169,7.355704697986577,1.5271739130434783,0.09421350818002419,-35.0,-1.0,0.0,1480,843.0,-138,9864.0,1341.0,15709.0,649.0,162.0
ADANIGREEN,2019,74.14965986394559,-23.080660835762874,-3.240551234820576,-24.573202276254527,5.764097258147957,1.3612845673505798,0.14040114613180515,-19.0,-3.0,0.0,2058,1526.0,-475,11142.0,1933.0,14658.0,1625.0,3.0
ADANIGREEN,2020,56.88505296194586,-2.6677128285602194,-0.36908380373425964,-2.8850233347475602,6.307170131523122,1.4572864321608041,0.13835214937038645,23.0,0.0,0.0,2549,1450.0,-68,14866.0,2357.0,18424.0,1965.0,383.0
ADANIGREEN,2021,71.73495518565942,5.8258642765685025,0.6343231562804963,8.272727272727273,11.004090909090909,1.1474654377880185,0.10888052418792694,6.0,1.0,0.0,3124,2241.0,182,24209.0,2200.0,28692.0,1601.0,-453.0
ADANIGREEN,2022,68.42002727449834,9.526592635885448,0.8294602571496421,18.706962509563887,20.211170619739864,1.3419946503630111,0.08706788343454218,12.0,3.0,0.0,5133,3512.0,489,52832.0,2614.0,58954.0,3127.0,383.0
ADANIGREEN,2023,63.91460905349794,12.512860082304528,1.4542139323558863,13.321467688937568,7.423740416210296,1.7073170731707317,0.11621754920862665,32.0,6.0,0.0,7776,4970.0,973,54223.0,7304.0,66909.0,7265.0,435.0
ADANIGREEN,2024,79.3709327548807,13.665943600867678,1.430420271098699,12.812690665039659,6.595281675818589,1.4618457850579305,0.10467043571055559,25.0,7.0,0.0,9220,7318.0,1260,64858.0,9834.0,88086.0,7713.0,606.0
ADANIPORTS,2013,66.59211629857423,45.820519988817445,7.791775612075114,25.633406318423525,1.817328745699093,4.394833948339484,0.17004991680532447,7.0,8.0,12.0,3577,2382.0,1639,11620.0,6394.0,21035.0,1379.0,381.0
ADANIPORTS,2014,60.43478260869565,36.04554865424431,7.055152571220165,19.86309184255562,1.4807758128921849,2.9877175025588536,0.19572881630668235,12.0,8.0,12.0,4830,2919.0,1741,12979.0,8765.0,24677.0,1132.0,-606.0
ADANIPORTS,2015,63.42652795838751,37.77633289986996,7.243937410385887,21.58848118903855,1.651277287505806,3.3208510638297875,0.19175861853999127,7.0,11.0,10.0,6152,3902.0,2324,17776.0,10765.0,32082.0,3057.0,335.0
ADANIPORTS,2016,64.38317625545083,40.17442678295119,7.44040640875342,21.147723065531284,1.6543502406516104,4.072064056939502,0.18520255308063047,9.0,14.0,8.0,7109,4577.0,2856,22342.0,13505.0,38385.0,2381.0,398.0
