company_id,company_name,broad_sector,kpi,kpi_column,value,sector_mean,sector_std,z_score,direction,outlier_flag
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,Asset Turnover,asset_turnover,56.386252,5.157839,14.215579,3.603681,High,True
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,Debt to Equity,debt_to_equity,3.833432,0.698619,1.057577,2.964145,High,True
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,EPS CAGR 5Y,eps_cagr_5yr,121.235682,26.729307,31.728851,2.978563,High,True
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,Interest Coverage,interest_coverage,174.416667,52.900568,52.551941,2.312305,High,True
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,Net Profit Margin,net_profit_margin_pct,26.018735,11.500325,6.714969,2.162097,High,True
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,Operating Profit Margin,operating_profit_margin_pct,76.298909,25.536186,23.764487,2.136075,High,True
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,Operating Profit Margin,operating_profit_margin_pct,86.146762,25.536186,23.764487,2.550469,High,True
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,ROA,return_on_assets_pct,668.330606,59.225935,169.019264,3.603759,High,True
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,ROCE,return_on_capital_employed_pct,5640.879828,436.624961,1443.957615,3.604160,High,True
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,ROE,return_on_equity_pct,892.568306,86.724106,223.661476,3.602964,High,True
TRENT,Trent Ltd,Consumer Discretionary,Revenue CAGR 5Y,revenue_cagr_5yr,36.306916,13.604579,8.479908,2.677192,High,True
BRITANNIA,Britannia Industries Ltd,Consumer Staples,Debt to Equity,debt_to_equity,0.523979,0.181566,0.163339,2.096328,High,True
ITC,"ITC Ltd
",Consumer Staples,Interest Coverage,interest_coverage,362.962500,76.224278,118.155368,2.426790,High,True
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,Operating Profit Margin,operating_profit_margin_pct,76.316725,30.199530,19.910686,2.316203,High,True
