company_id,previous_year,year,previous_pattern,current_pattern,changed
ABB,2012,2014,Reinvestor,Reinvestor,False
ABB,2014,2015,Reinvestor,Reinvestor,False
ABB,2015,2016,Reinvestor,Reinvestor,False
ABB,2016,2017,Reinvestor,Reinvestor,False
ABB,2017,2018,Reinvestor,Reinvestor,False
ABB,2018,2019,Reinvestor,Reinvestor,False
ABB,2019,2020,Reinvestor,Reinvestor,False
ABB,2020,2021,Reinvestor,Reinvestor,False
ABB,2021,2022,Reinvestor,Reinvestor,False
ABB,2022,2023,Reinvestor,Reinvestor,False
ABB,2023,2024,Reinvestor,Reinvestor,False
ADANIENSOL,2014,2015,Mixed,Growth Funded by Debt,True
ADANIENSOL,2015,2016,Growth Funded by Debt,Reinvestor,True
ADANIENSOL,2016,2017,Reinvestor,Reinvestor,False
ADANIENSOL,2017,2018,Reinvestor,Mixed,True
ADANIENSOL,2018,2019,Mixed,Mixed,False
ADANIENSOL,2019,2020,Mixed,Mixed,False
ADANIENSOL,2020,2021,Mixed,Reinvestor,True
ADANIENSOL,2021,2022,Reinvestor,Reinvestor,False
ADANIENSOL,2022,2023,Reinvestor,Mixed,True
ADANIENSOL,2023,2024,Mixed,Reinvestor,True
ADANIENT,2013,2014,Mixed,Reinvestor,True
ADANIENT,2014,2015,Reinvestor,Mixed,True
ADANIENT,2015,2016,Mixed,Reinvestor,True
ADANIENT,2016,2017,Reinvestor,Mixed,True
ADANIENT,2017,2018,Mixed,Mixed,False
ADANIENT,2018,2019,Mixed,Liquidating Assets,True
ADANIENT,2019,2020,Liquidating Assets,Reinvestor,True
ADANIENT,2020,2021,Reinvestor,Mixed,True
ADANIENT,2021,2022,Mixed,Mixed,False
ADANIENT,2022,2023,Mixed,Reinvestor,True
ADANIENT,2023,2024,Reinvestor,Mixed,True
ADANIGREEN,2017,2018,Mixed,Mixed,False
ADANIGREEN,2018,2019,Mixed,Mixed,False
ADANIGREEN,2019,2020,Mixed,Mixed,False
ADANIGREEN,2020,2021,Mixed,Mixed,False
ADANIGREEN,2021,2022,Mixed,Mixed,False
ADANIGREEN,2022,2023,Mixed,Reinvestor,True
ADANIGREEN,2023,2024,Reinvestor,Mixed,True
ADANIPORTS,2013,2014,Mixed,Mixed,False
ADANIPORTS,2014,2015,Mixed,Reinvestor,True
ADANIPORTS,2015,2016,Reinvestor,Mixed,True
ADANIPORTS,2016,2017,Mixed,Reinvestor,True
ADANIPORTS,2017,2018,Reinvestor,Reinvestor,False
ADANIPORTS,2018,2019,Reinvestor,Mixed,True
ADANIPORTS,2019,2020,Mixed,Reinvestor,True
ADANIPORTS,2020,2021,Reinvestor,Mixed,True
ADANIPORTS,2021,2022,Mixed,Reinvestor,True
ADANIPORTS,2022,2023,Reinvestor,Reinvestor,False
ADANIPORTS,2023,2024,Reinvestor,Reinvestor,False
ADANIPOWER,2013,2014,Mixed,Mixed,False
ADANIPOWER,2014,2015,Mixed,Reinvestor,True
ADANIPOWER,2015,2016,Reinvestor,Reinvestor,False
ADANIPOWER,2016,2017,Reinvestor,Reinvestor,False
ADANIPOWER,2017,2018,Reinvestor,Reinvestor,False
ADANIPOWER,2018,2019,Reinvestor,Reinvestor,False
ADANIPOWER,2019,2020,Reinvestor,Reinvestor,False
ADANIPOWER,2020,2021,Reinvestor,Reinvestor,False
ADANIPOWER,2021,2022,Reinvestor,Liquidating Assets,True
ADANIPOWER,2022,2023,Liquidating Assets,Liquidating Assets,False
ADANIPOWER,2023,2024,Liquidating Assets,Liquidating Assets,False
AMBUJACEM,2012,2013,Reinvestor,Reinvestor,False
AMBUJACEM,2013,2014,Reinvestor,Reinvestor,False
AMBUJACEM,2014,2015,Reinvestor,Reinvestor,False
AMBUJACEM,2015,2016,Reinvestor,Reinvestor,False
AMBUJACEM,2016,2017,Reinvestor,Reinvestor,False
AMBUJACEM,2017,2018,Reinvestor,Reinvestor,False
AMBUJACEM,2018,2019,Reinvestor,Reinvestor,False
AMBUJACEM,2019,2020,Reinvestor,Reinvestor,False
